Time,Open,High,Low,Last,Change,Volume
08/16/16,27,27.095,26.82,27,-0.175,541800
08/15/16,27.16,27.34,27.16,27.175,-0.255,507200
08/12/16,27,27.5,26.5,27.43,-0.9,486400
08/11/16,28.275,28.42,28.21,28.33,0.059999999999999,404100
08/10/16,28.095,28.39,28,28.27,0.35,799900
08/09/16,27.75,27.99,27.61,27.92,1.89,915800
08/08/16,25.958,26.1,25.86,26.03,0.21,384800
08/05/16,25.685,25.82,25.5,25.82,-0.53,447900
08/04/16,26.125,26.4,26.01,26.35,-0.024999999999999,574300
08/03/16,25.85,26.38,25.78,26.375,0.855,552500
08/02/16,25.46,25.67,25.2,25.52,0.02,507500
08/01/16,25.2248,25.5,25.04,25.5,-0.28,1593000
07/29/16,25.56,26.11,25.56,25.78,0.77,1567800
07/28/16,25.09,25.39,24.915,25.01,-1.23,2399600
07/27/16,24.65,26.38,24.65,26.24,-1.3,3679500
07/26/16,27.45,27.54,26.88,27.54,1.89,3352200
07/25/16,26.054,27.39,25.2,25.65,-3.35,9054800
07/22/16,30,30,27.75,29,-3.42,8183800
07/21/16,32.6,33.15,32.22,32.42,-1.4,2786800
07/20/16,33.9,33.9,32.25,33.82,-2.03,6887900
07/19/16,37.8,38.09,33.05,35.85,-1.52,11646800
07/18/16,36.1,38.25,35.6,37.37,3.988,13401800
07/15/16,32.91,33.4,32.5,33.382,2.834,7342400
07/14/16,30.5,30.71,29.87,30.548,4.023,6236300
07/13/16,26.65,27.05,26.25,26.525,-1.065,2604500
07/12/16,28.11,28.7,27.58,27.59,-0.11,7089700
07/11/16,28.99,30.25,26.75,27.7,6.97,9773600
07/08/16,20.47,20.85,20.47,20.73,1.92,795200
07/07/16,18.35,18.81,18.35,18.81,1.18,934600
07/06/16,17.45,17.7073,17.45,17.63,0.135,97400
07/05/16,17.45,17.69,17.45,17.495,-0.25,26200
07/01/16,17.766,17.83,17.7,17.745,-0.035,18700
06/30/16,17.655,17.8,17.56,17.78,-0.00099999999999767,31400
06/29/16,17.72,17.81,17.72,17.781,0.651,8200
06/28/16,17.16,17.16,16.92,17.13,0.32,29600
06/27/16,17.036,17.07,16.77,16.81,-0.445,66400
06/24/16,17,17.32,17,17.255,-0.575,51300
06/23/16,17.82,17.88,17.75,17.83,0.13,24800
06/22/16,17.7661,17.84,17.7,17.7,-0.29,50700
06/21/16,18.1,18.1,17.88,17.99,0.039999999999999,17200
06/20/16,18,18,17.72,17.95,0.34,24000
06/17/16,17.5544,17.66,17.495,17.61,-0.060000000000002,63100
06/16/16,17.67,17.67,17.43,17.67,-0.1101,93700
06/15/16,17.75,17.95,17.75,17.7801,-0.039899999999999,101300
06/14/16,17.99,17.99,17.8,17.82,-0.19,20600
06/13/16,18.1,18.1,18,18.01,-0.49,27300
06/10/16,18.71,18.71,18.44,18.5,-0.453,32100
06/09/16,19,19,18.76,18.953,-0.397,93100
06/08/16,19.1,19.36,18.86,19.35,0.49,104800
06/07/16,18.73,19,18.73,18.86,0.4,17700
06/06/16,18.42,18.5,18.2,18.46,0.325,87700
06/03/16,18.17,18.17,18.01,18.135,0.075000000000003,36900
06/02/16,17.949,18.09,17.949,18.06,-0.155,26300
06/01/16,18.19,18.25,18.02,18.215,-0.124,40500
05/31/16,18.24,18.445,18.24,18.339,0.339,89900
05/27/16,17.81,18.25,17.81,18,-0.17,15700
05/26/16,18.0375,18.3,18.0375,18.17,-0.15,6000
05/25/16,18.16,18.35,18.16,18.32,0.16,11800
05/24/16,18.02,18.16,17.9,18.16,-0.16,33300
05/23/16,18.32,18.436,18.23,18.32,-0.18,28100
05/20/16,18.49,18.5,18.38,18.5,0.079999999999998,13300
05/19/16,18.37,18.61,18.35,18.42,0.07,15400
05/18/16,18.4,18.43,18.13,18.35,0.18,20000
05/17/16,18.115,18.32,18.115,18.17,0.135,17200
05/16/16,17.915,18.06,17.7645,18.035,0.345,46000
05/13/16,17.514,17.7276,17.514,17.69,-0.11,9300
05/12/16,17.8,17.8,17.51,17.8,0.386,19200
05/11/16,17.32,17.5,17.32,17.414,-0.166,29800
05/10/16,17.51,17.6,17.45,17.58,-0.035,32400
05/09/16,17.44,17.7,17.44,17.615,0.115,25500
05/06/16,17.459,17.5,17.2,17.5,0.15,94900
05/05/16,17.3,17.39,17.3,17.35,0.050000000000001,58000
05/04/16,17.18,17.45,17.18,17.3,-0.15,113700
05/03/16,17.51,17.51,17.2,17.45,-0.02,439500
05/02/16,17.18,17.49,17.18,17.47,0.41,116900
04/29/16,17.19,17.19,16.94,17.06,-0.040000000000003,41700
04/28/16,17.365,17.365,17.07,17.1,-0.9,100600
04/27/16,18.29,18.29,17.825,18,-0.72,163400
04/26/16,18.88,18.88,18.6221,18.72,-0.17,27100
04/25/16,19.1,19.16,18.85,18.89,-0.51,47600
04/22/16,19.456,19.456,19.344,19.4,-0.29,41400
04/21/16,19.838,19.838,19.58,19.69,-0.22,44100
04/20/16,19.7,19.97,19.68,19.91,0.32,58700
04/19/16,19.62,19.62,19.48,19.59,0.37,14200
04/18/16,18.994,19.25,18.994,19.22,0.16,24900
04/15/16,18.94,19.13,18.94,19.06,0,13900
04/14/16,19,19.1,19,19.06,0.32,40000
04/13/16,18.89,18.89,18.64,18.74,-0.16,93200
04/12/16,18.63,18.9,18.63,18.9,0.61,41100
04/11/16,18.15,18.43,18.15,18.29,0.17,31200
04/08/16,18,18.526,17.672,18.12,0.58,45600
04/07/16,17.7,17.7,17.47,17.54,0.4,21100
04/06/16,17.125,17.15,16.9,17.14,0.21,40600
04/05/16,16.97,16.97,16.73,16.93,-0.259,310600
04/04/16,17.285,17.38,17.17,17.189,-0.131,133500
04/01/16,17.4755,17.5,17.17,17.32,-0.43,149300
03/31/16,18,18,17.75,17.75,-0.41,35500
03/30/16,18.29,18.34,18.07,18.16,-0.73,171900
03/29/16,18.5599,18.9,18.31,18.89,0.23,83300
03/28/16,18.56,18.9,18.55,18.66,0.010000000000002,27000
03/24/16,18.61,18.65,18.18,18.65,0.53,22700
03/23/16,18.135,18.26,18.066,18.12,-0.23,35100
03/22/16,18.35,18.62,18.12,18.35,1.01,120100
03/21/16,17.44,17.44,17.3,17.34,-0.080000000000002,247600
03/18/16,17.31,17.45,17.13,17.42,-0.049999999999997,281400
03/17/16,17,17.6,17,17.47,-0.02,291600
03/16/16,17.55,17.56,17.38,17.49,0.09,27700
03/15/16,17.34,17.48,17.34,17.4,-0.085000000000001,5800
03/14/16,17.64,17.64,17.394,17.485,-0.385,7100
03/11/16,17.775,17.89,17.775,17.87,0.3,14100
03/10/16,17.67,17.833,17.42,17.57,0.039999999999999,12600
03/09/16,17.498,17.53,17.37,17.53,0.145,11000
03/08/16,17.37,17.53,17.37,17.385,0.105,14500
03/07/16,17.308,17.38,17.06,17.28,-0.92,30000
03/04/16,18.395,18.395,18.18,18.2,0.13,16400
