score_phrase,title,url,release_date,platform,score,genre,editors_choice
Great,Outlast II,http://www.ign.com/articles/2017/04/24/outlast-2-review,24-Apr-17,PC,8.3,"Action, Adventure",N
Great,Puyo Puyo Tetris,http://www.ign.com/articles/2017/04/24/puyo-puyo-tetris-review,24-Apr-17,Nintendo Switch,8.7,Puzzle,N
Great,Puyo Puyo Tetris,http://www.ign.com/articles/2017/04/24/puyo-puyo-tetris-review,24-Apr-17,PlayStation 4,8.7,Puzzle,N
Good,Rick and Morty: Virtual Rick-ality,http://www.ign.com/articles/2017/04/20/rick-and-morty-virtual-rick-ality-review,21-Apr-17,PC,7.6,Simulation,N
Amazing,Mario Kart 8 Deluxe,http://www.ign.com/articles/2017/04/20/mario-kart-8-deluxe-review,20-Apr-17,Nintendo Switch,9.3,Racing,N
Great,Paradigm,http://www.ign.com/articles/2017/04/18/paradigm-review,19-Apr-17,PC,8,Adventure,N
Good,The Disney Afternoon Collection,http://www.ign.com/articles/2017/04/18/disney-afternoon-collection-review,18-Apr-17,PlayStation 4,7,Action,N
Good,The Disney Afternoon Collection,http://www.ign.com/articles/2017/04/18/disney-afternoon-collection-review,18-Apr-17,PC,7,Action,N
Good,The Disney Afternoon Collection,http://www.ign.com/articles/2017/04/18/disney-afternoon-collection-review,18-Apr-17,Xbox One,7,Action,N
Good,Wonder Boy: The Dragon's Trap,http://www.ign.com/articles/2017/04/17/wonder-boy-the-dragons-trap-review,18-Apr-17,PlayStation 4,7.1,Action,N
Good,Wonder Boy: The Dragon's Trap,http://www.ign.com/articles/2017/04/17/wonder-boy-the-dragons-trap-review,18-Apr-17,Nintendo Switch,7.1,Action,N
Good,Wonder Boy: The Dragon's Trap,http://www.ign.com/articles/2017/04/17/wonder-boy-the-dragons-trap-review,18-Apr-17,Xbox One,7.1,Action,N
Good,Wonder Boy: The Dragon's Trap,http://www.ign.com/articles/2017/04/17/wonder-boy-the-dragons-trap-review,18-Apr-17,PC,7.1,Action,N
Great,Full Throttle: Remastered,http://www.ign.com/articles/2017/04/18/full-throttle-remastered-review,18-Apr-17,PC,8,Adventure,N
Great,Full Throttle: Remastered,http://www.ign.com/articles/2017/04/18/full-throttle-remastered-review,18-Apr-17,PlayStation 4,8,Adventure,N
Good,Voodoo Vince: Remastered,http://www.ign.com/articles/2017/04/18/voodoo-vince-remastered-review,18-Apr-17,Xbox One,7.2,Platformer,N
Good,Voodoo Vince: Remastered,http://www.ign.com/articles/2017/04/18/voodoo-vince-remastered-review,18-Apr-17,PC,7.2,Platformer,N
Great,Marvel's Guardians of the Galaxy -- Episode 1: Tangled Up in Blue,http://www.ign.com/articles/2017/04/17/marvels-guardians-of-the-galaxy-the-telltale-series-episode-1-tangled-up-in-blue-review,18-Apr-17,PlayStation 4,8.5,Adventure,N
Great,Marvel's Guardians of the Galaxy -- Episode 1: Tangled Up in Blue,http://www.ign.com/articles/2017/04/17/marvels-guardians-of-the-galaxy-the-telltale-series-episode-1-tangled-up-in-blue-review,18-Apr-17,PC,8.5,Adventure,N
Great,Marvel's Guardians of the Galaxy -- Episode 1: Tangled Up in Blue,http://www.ign.com/articles/2017/04/17/marvels-guardians-of-the-galaxy-the-telltale-series-episode-1-tangled-up-in-blue-review,18-Apr-17,Xbox One,8.5,Adventure,N
Amazing,ASUS RT-AC88U AC3100 Dual-Band Wi-Fi Gigabit Router,http://www.ign.com/articles/2017/04/13/asus-rt-ac88u-ac3100-dual-band-router-review,13-Apr-17,PC,9,Hardware,N
